,content,page_number,real_page_num,section_level_1,section_level_2,section_level_3
0,This book provides a clear and accessible introduction to formal semantics within a linguistic framework.,1,I,,,
1,"It presupposes no previous background in logic, but takes students step-by-step from simple predicate/argument structures and their interpretation through to Montague's intensional logic, bringing them to a level where they can tackle the primary technical literature.",1,I,,,
2,"It assumes some basic knowledge of linguistics, but aims to be as non-technical as possible within a technical subject.",1,I,,,
3,"Formal semantics will be welcomed by students and researchers in linguistics, artificial intelligence and cognitive science alike.",1,I,,,
4,CAMBRIDGE TEXTBOOKS IN LINGUISTICS,3,III,,,
5,"General Editors: J.BRESNAN, B. COMRIE, W. DRESSLER, R. HUDDLESTON,",3,III,,,
6,"R. LASS, D. LIGHTFOOT, J. LYONS, P. H. MATTHEWS, R. POSNER,",3,III,,,
7,"S. ROMAINE, N. V. SMITH, N. VINCENT",3,III,,,
8,FORMAL SEMANTICS,3,III,,,
9,In this series:,4,IV,,,
10,P. H. MATTHEWS Morphology Second edition,4,IV,,,
11,B. COMRIEAspect,4,IV,,,
12,R. M. K EM PS ON Semantic Theory,4,IV,,,
13,T. B Y N O N Historical Linguistics,4,IV,,,
14,"J. ALL WOOD, L.-G. ANDERSON, O. D AHL Logic in Linguistics",4,IV,,,
15,D. B. F R Y The Psysics of Speech,4,IV,,,
16,R. A. HUDSON Sociolinguistics,4,IV,,,
17,J. K. CHAMBERS and P. T R U D GIL L Dialectology,4,IV,,,
18,A. J. ELLIOT Child Language,4,IV,,,
19,P. H. MATT HEW S Syntax,4,IV,,,
20,A. RADFORD Transformational Syntax,4,IV,,,
21,L. BAUER English Word-formation,4,IV,,,
22,S. C. LEVIN SON Pragmatics,4,IV,,,
23,G. BROWN and G. YULE Discourse Analysis,4,IV,,,
24,R. HU DD LES TO N Introduction to the Grammar of English,4,IV,,,
25,R. LASS Phonology,4,IV,,,
26,B. C O M R I E T ^,4,IV,,,
27,W. KL EIN Second Language Acquisition,4,IV,,,
28,A. CRUT TEN DEN Intonation,4,IV,,,
29,"A. J. WOODS, P. FLETCHERandA.",4,IV,,,
30,HUGHES Statistics in Language,4,IV,,,
31,Studies,4,IV,,,
32,D. A. C R U S E Lexical Semantics,4,IV,,,
33,F. R. PALMER Mood and Modality,4,IV,,,
34,A. RADFORD Transformational Grammar,4,IV,,,
35,M. G ARM AN Psycholinguistics,4,IV,,,
36,G. C O R B E T T G ^ r,4,IV,,,
37,H. GIEGERICHEnglish Phonology,4,IV,,,
38,R. C ANN Formal Semantics,4,IV,,,
39,FORMAL SEMANTICS,5,V,,,
40,An introduction,5,V,,,
41,RONNIE CANN,5,V,,,
42,"Department of Linguistics, University of Edinburgh",5,V,,,
43,CAMBRIDGE,5,V,,,
44,UNIVERSITY PRESS,5,V,,,
45,Published by the Press Syndicate of the University of Cambridge,6,VI,,,
46,"The Pitt Building, Trumptington Street, Cambridge CB2 1RP",6,VI,,,
47,"40 West 20th Street, New York, NY 10011-4211, USA",6,VI,,,
