,content,page_number,real_page_num,section_level_1,section_level_2,section_level_3,clean_content
0,Introduction,19,1,1 Introduction,No info,No info,
1,Semantics and semantic theory,19,1,1 Introduction,No info,No info,semantics semantic theory
2,"In its broadest sense, semantics is the study of meaning and linguistic semantics is the study of meaning as expressed by the words, phrases and sentences of human languages.",19,1,1 Introduction,No info,No info,broadest sense semantics meaning linguistic semantics study meaning word phrase sentence human language
3,"It is, however, more usual within linguistics to interpret the term more narrowly, as concerning the study of those aspects of meaning encoded in linguistic expressions that are independent of their use on particular occasions by particular individuals within a particular speech community.",19,1,1 Introduction,No info,No info,usual linguistics term study aspect meaning linguistic expression independent use particular occasion particular individual particular speech community
4,"In other words, semantics is the study of meaning abstracted away from those aspects that are derived from the intentions of speakers, their psychological states and the socio-cultural aspects of the context in which their utterances are made.",19,1,1 Introduction,No info,No info,word semantics study meaning intention speaker psychological state aspect context utterance
5,A further narrowing of the term is also commonly made in separating the study of semantics from that of pragmatics.,19,1,1 Introduction,No info,No info,term study semantics pragmatic
6,"Unfortunately, the nature of the object of inquiry of the discipline (what constitutes semantic meaning, as opposed to pragmatic meaning) and the domain of the inquiry",19,1,1 Introduction,No info,No info,nature inquiry discipline semantic meaning pragmatic meaning domain inquiry
7,(what aspects of meaning should be addressed by the discipline) remain difficult and controversial questions.,19,1,1 Introduction,No info,No info,aspect meaning discipline difficult controversial question
8,"There are, however, three central aspects of the meaning of linguistic expressions that are currently accepted by most semanticists as forming the core concern of linguistic semantics.",19,1,1 Introduction,No info,No info,central aspect meaning linguistic expression semanticist core concern linguistic semantics
9,"These central concerns of semantic theory, adapted from Kempson (1977:4), are stated in (1) and may be adopted as criteria for ascertaining the adequacy of semantic theories which apply in addition to the general conditions on scientific theories of falsifiability and rigour.",19,1,1 Introduction,No info,No info,central concern semantic theory kempson criterion adequacy semantic theory addition general condition scientific theory falsifiability rigour
10,"A semantic theory must: capture for any language the nature of the meaning of words, phrases and sentences and explain the nature of the relation between them; be able to predict the ambiguities in the expressions of a language; characterise and explain the systematic meaning relations between the words, the phrases and the sentences of a language.",19,1,1 Introduction,No info,No info,semantic theory language nature word phrase sentence nature relation able predict ambiguity expression language systematic meaning relation word phrase sentence language
11,One may add to these the condition that a semantic theory should provide an account of the relation between linguistic expressions and what may be called 'things in the world'.,19,1,1 Introduction,No info,No info,condition semantic theory account relation linguistic expression world
12,"In other words, it is a primary concern of a semantic theory to explain how human beings can use their language to convey information about the external world.",19,1,1 Introduction,No info,No info,word primary concern semantic theory human use language convey information external world
13,We may thus require a semantic theory to conform also to the criterion of adequacy in (2).,19,1,1 Introduction,No info,No info,semantic theory conform criterion adequacy
14,A semantic theory must provide an account of the relation between linguistic expressions and the things that they can be used to talk about.,19,1,1 Introduction,No info,No info,semantic theory account relation linguistic expression thing talk
15,"There are many other aspects of meaning that can be included in the domain of linguistic semantics, but a theory conforming to the four criteria in (1) and (2) will cover the main ground of the discipline and provide a firm basis for further research.",19,1,1 Introduction,No info,No info,many aspect meaning domain linguistic semantics theory criterion cover main ground discipline firm basis research
16,"In this book, we will be looking at a particular theory of semantics that goes a long way towards satisfying these criteria and that has been very influential in linguistic",19,1,1 Introduction,No info,No info,book particular theory semantics long way criterion influential linguistic
17,1 Introduction semantics over the last two decades.,20,2,1 Introduction,No info,No info,semantics last decade
18,This theory is a formal theory of semantics and is distinguished from general linguistic semantics by its greater use of mathematical techniques and reliance on logical precision.,20,2,1 Introduction,No info,No info,theory formal theory semantics general linguistic semantics greater mathematical technique reliance logical precision
19,This is not to say that formal semantics and general linguistic semantics are completely separate disciplines.,20,2,1 Introduction,No info,No info,formal semantics general linguistic semantics separate discipline
20,"It sometimes appears that these two approaches to the semantics of natural languages are mutually incompatible, but this is not obviously true.",20,2,1 Introduction,No info,No info,approach semantics natural language incompatible true
21,The former draws heavily on the long tradition of research in the latter which in turn benefits from the greater precision of the former.,20,2,1 Introduction,No info,No info,former long tradition research latter turn benefit greater precision former
22,Both approaches enable us to understand more about meaning and greater integration between them would doubtless bring greater benefits to the discipline.,20,2,1 Introduction,No info,No info,approach enable understand meaning greater integration greater benefit discipline
23,"Formal semantics itself was devised as a means of providing a precise interpretation for formal languages, i.e. the logical and mathematical languages that are opposed to natural languages that are spoken or written as the native languages of human beings.",20,2,1 Introduction,No info,No info,formal semantics mean precise interpretation formal language logical mathematical language natural language native language human being
24,"Many logicians considered it to be impossible to apply the same rigour to the semantics of human languages, because of their supposedly inexact syntax, their vagueness and their ambiguity.",20,2,1 Introduction,No info,No info,many logician impossible rigour semantics human language inexact syntax vagueness ambiguity
25,"In the late nineteen-sixties, however, the philosopher Richard Montague asserted that it was possible to use the same techniques in analysing the meanings of sentences in English.",20,2,1 Introduction,No info,No info,philosopher richard montague possible use technique meaning sentence english
26,"In three articles, English as a formal language, Universal grammar and The proper treatment of quantification in",20,2,1 Introduction,No info,No info,article english formal language universal proper treatment quantification
27,"English, all published or presented in 1970, Montague gave arguments for his hypothesis that:",20,2,1 Introduction,No info,No info,english presented montague argument hypothesis
28,"There is in my opinion no important theoretical difference between natural languages and the artificial languages of logicians; indeed, I consider it possible to comprehend the syntax and semantics of both kinds of language within a single, natural and mathematically precise theory.",20,2,1 Introduction,No info,No info,opinion important theoretical difference natural language artificial language logician possible syntax semantics kind language single natural precise theory
29,Montague (1974: 222),20,2,1 Introduction,No info,No info,montague
30,"Throughout the nineteen-seventies, after his tragic death in 1971, Montague's work had a radical effect on the study of semantics in linguistics.",20,2,1 Introduction,No info,No info,tragic death montague work radical effect study semantics linguistics
31,"Indeed, his ideas on the semantics of human languages have become central to the understanding of many of the questions and theories being discussed in linguistic semantics today.",20,2,1 Introduction,No info,No info,idea semantics human language central many question theory linguistic semantics
32,"Owing to the relatively recent application of the tools of formal semantics to the analysis of natural languages, however, there are many topics in linguistic semantics that have not yet been formally analysed, but it is hoped that ultimately a good deal of linguistic meaning will be amenable to the sort of rigorous treatment envisaged by Montague.",20,2,1 Introduction,No info,No info,recent application tool formal semantics analysis natural language many topic linguistic semantics good deal linguistic amenable sort rigorous treatment montague
33,"It is the exposition of Montague's theory in its now classical form that constitutes the subject matter of this book, but, before the main points of his semantic theory are introduced, the four criteria of adequacy in (1) and (2) above will be discussed in more detail in order to provide a clearer idea of the fundamental issues that underlie the development of the theory in later chapters.",20,2,1 Introduction,No info,No info,exposition montague theory classical form subject matter book main point semantic theory criterion adequacy detail order clearer idea fundamental issue underlie development theory chapter
34,Compositionality,20,2,1 Introduction,No info,No info,compositionality
35,A fundamental property that any semantic theory must have is the ability to pair the syntactic expressions of a language with their meanings.,20,2,1 Introduction,No info,No info,fundamental property semantic theory syntactic expression language meaning
36,"In the first condition of adequacy in (l.a), above, this property is characterised as a requirement that a semantic theory account for the nature of the meaning of linguistic expressions and be able to pair every expression in a language (words, phrases and sentences) with an appropriate meaning.",20,2,1 Introduction,No info,No info,first condition adequacy property requirement semantic theory account nature linguistic expression able pair expression language word phrase sentence appropriate meaning
37,"As already mentioned, the characterisation of meaning is a",20,2,1 Introduction,No info,No info,characterisation meaning
38,"Semantics and semantic theory controversial matter, but whatever meanings are taken to be within a theory, it is obvious that there must be some way of associating them with appropriate linguistic expressions.",21,3,1 Introduction,No info,No info,semantics semantic theory controversial matter meaning theory obvious appropriate linguistic expression
39,"This is not a trivial matter, however, and there are a number of important points that need to be discussed with respect to this property.",21,3,1 Introduction,No info,No info,trivial matter number important point respect property
40,"In the first place, let us consider more closely what it is that is to be assigned meanings by a semantic theory.",21,3,1 Introduction,No info,No info,first place semantic theory
41,Condition (l.a) refers to words and sentences as the carriers of meaning.,21,3,1 Introduction,No info,No info,condition word sentence carrier meaning
42,"The term sentence here is being used in its abstract sense, common in linguistics, as the largest unit of syntactic description, independently of its realisation in spoken or written texts.",21,3,1 Introduction,No info,No info,term sentence abstract sense common linguistics largest unit syntactic description realisation text
43,"Like the term sentence, word is also ambiguous in everyday English.",21,3,1 Introduction,No info,No info,term sentence word ambiguous everyday english
44,"Within semantics, the notion of word that is most useful is that of the lexeme which is an abstract grammatical construct that underlies a set of word forms which are recognised as representatives of 'the same word' in different syntactic environments.",21,3,1 Introduction,No info,No info,semantics notion word useful lexeme abstract grammatical construct underlies word form representative word different syntactic environment
45,"For example, the word forms sing, sings, singing, sang and sung are particular inflectional variants of a lexeme which we may represent for the time being as SING.",21,3,1 Introduction,No info,No info,word form sing sings sung particular inflectional variant lexeme time
46,"It is to lexemes and not to word forms that meanings should be assigned, because while the inflectional properties of the verb SING may vary in different syntactic environments, the sort of action described by the verb remains the same.",21,3,1 Introduction,No info,No info,lexeme word form meaning inflectional property verb sing different syntactic environment sort action verb
47,"For this reason, the meaning of words is referred to in this book as lexical meaning, rather than word meaning.",21,3,1 Introduction,No info,No info,reason meaning word book lexical meaning word meaning
48,"Although it is possible for the meanings assigned to lexemes and sentences to be very different from each other, it is reasonable to expect the meanings of sentences to be related to the meanings of the lexemes underlying the word-forms they contain.",21,3,1 Introduction,No info,No info,possible lexeme sentence different reasonable sentence lexeme underlying contain
49,It is intuitively implausible for there to be a language where the relation between the meaning of a sentence and the meanings of its component lexemes is entirely random.,21,3,1 Introduction,No info,No info,implausible language relation sentence meaning component lexeme random
50,"While languages do contain idiomatic phrases and sentences where lexical and sentential meaning are not transparently related (e.g. kick the bucket meaning the same as DIE in English), this is never the general situation.",21,3,1 Introduction,No info,No info,language idiomatic phrase sentence lexical sentential meaning related kick bucket meaning english general situation
51,"If there were no direct relation between lexical and sentential meaning, of course, the meaning of each sentence in a language would have to be listed.",21,3,1 Introduction,No info,No info,direct relation lexical sentential meaning course meaning sentence language
52,"Since the number of sentences that make up a language is infinite, this would mean that no human being would be able to determine the meanings of all the sentences of any language owing to the finite resources of the brain.",21,3,1 Introduction,No info,No info,number sentence language infinite human able sentence language owing finite resource brain
53,"This is absurd, of course, and just as sentences are defined recursively by syntactic rules, taking words (or morphemes) as their basis, so their meanings should also be defined recursively from the meanings ascribed to the lexemes they contain.",21,3,1 Introduction,No info,No info,absurd course sentence syntactic rule word morpheme basis meaning ascribed lexeme contain
54,"Thus, in addition to associating each expression in a language with a meaning, an adequate semantic theory must also be able to explain how the meanings of smaller expressions contribute to the meanings of larger ones that contain them.",21,3,1 Introduction,No info,No info,addition expression language adequate semantic theory able smaller expression larger contain
55,A theory that derives the meaning of larger expressions from those of smaller ones is said to be compositional.,21,3,1 Introduction,No info,No info,theory larger expression smaller compositional
56,"The Principle of Compositionaiity, given an initial definition in (3), is generally attributed to the German philosopher Gottlob Frege, and is thus sometimes referred to as the Fregean Principle of Compositionaiity or just the",21,3,1 Introduction,No info,No info,principle compositionaiity initial german philosopher gottlob frege fregean principle compositionaiity
57,"Fregean Principle, although it is unlikely that he ever stated the principle in precisely this way.",21,3,1 Introduction,No info,No info,fregean principle unlikely principle
58,The meaning of an expression is a function of the meaning of its parts.,21,3,1 Introduction,No info,No info,expression function part
59,"The notion of a function will be discussed in more detail in Chapter 4, but essentially it is an operation that derives a single result given a specified input.",21,3,1 Introduction,No info,No info,notion function detail operation single result input
60,"Thus,",21,3,1 Introduction,No info,No info,
61,1 Introduction the principle (3) minimally requires that the meaning of a larger expression be uniquely determined from the meanings of its component parts.,22,4,1 Introduction,No info,No info,principle larger expression component part
62,"This cannot be all there is to compositionality, however, since, otherwise, we would expect that sentences containing the same words mean the same thing.",22,4,1 Introduction,No info,No info,compositionality sentence word
63,"This is, of course, not true.",22,4,1 Introduction,No info,No info,true
64,The sentence Jo kicked Chester does not mean the same as Chester kicked Jo.,22,4,1 Introduction,No info,No info,sentence chester mean chester
65,"It must also be the case, therefore, that the syntactic structure of an expression is relevant to the derivation of its meaning.",22,4,1 Introduction,No info,No info,structure expression relevant derivation meaning
66,"Indeed, we may strengthen the principle of compositionality so that, in deriving the meaning of a composite expression, the meaning of its component expressions are combined in some way that refers to the way they are combined by the syntax.",22,4,1 Introduction,No info,No info,principle compositionality composite expression meaning component expression way syntax
67,"This implies that wherever meanings are combined in a particular way to derive the meaning of a composite expression, all other composite expressions of the same sort have their meanings determined in the same way.",22,4,1 Introduction,No info,No info,particular way meaning composite expression composite expression sort meaning way
68,"In other words, the construction of meanings is rule-governed, in the same way that the construction of the well-formed syntactic expressions of a language is rule-governed.",22,4,1 Introduction,No info,No info,word construction meaning way construction syntactic expression language
69,"For example, whatever rule derives the meaning of the sentence Jo sang from the subject Jo and intransitive verb sang applies to all declarative sentences derived by combining a subject noun phrase with the appropriate form of an intransitive verb.",22,4,1 Introduction,No info,No info,rule sentence subject intransitive verb declarative sentence subject noun phrase appropriate form intransitive verb
70,"Furthermore, it is a general property of human languages that all the sub-expressions of a grammatically well-formed phrase have a role to play in the interpretation of a sentence, even if, on occasions, this role is predictably redundant",22,4,1 Introduction,No info,No info,general property human language role play interpretation sentence role redundant
71,"(as, for example, in double negative constructions in certain dialects of English like",22,4,1 Introduction,No info,No info,double negative construction certain dialect english
72,/ never did nothing where the second negative expression merely reinforces the idea of negation introduced by the first).,22,4,1 Introduction,No info,No info,nothing second negative expression idea negation
73,"Semantic rules should, therefore, not be allowed to delete meanings during the derivation of the meaning of a composite expression.",22,4,1 Introduction,No info,No info,semantic rule delete meaning derivation meaning composite expression
74,The effect of this restriction is to make the creation of the meanings of larger expressions monotonic with respect to their component parts where a derivation is said to be monotonic if all properties of previous parts of a derivation are maintained throughout.,22,4,1 Introduction,No info,No info,effect restriction creation larger expression monotonic respect component part derivation monotonic property previous part derivation
75,"In other words, once information is introduced into a monotonic derivation, it is not lost thereafter.",22,4,1 Introduction,No info,No info,word information monotonic derivation
76,The initial definition of compositionality in (3) may thus be strengthened to give the statement in (4).,22,4,1 Introduction,No info,No info,initial compositionality give statement
77,The principle of compositionality: The meaning of an expression is a monotonic function of the meaning of its parts and the way they are put together.,22,4,1 Introduction,No info,No info,principle compositionality expression monotonic function part
78,The implications of this interpretation of the principle of compositionality is that meanings should be ascribed not only to lexemes and sentences but also to other syntactic constituents.,22,4,1 Introduction,No info,No info,implication interpretation principle compositionality meaning ascribed lexeme sentence syntactic constituent
79,"It is thus generally assumed that meanings should be assigned to all the well-formed constituents of a language, not just to its words (lexemes) and sentences.",22,4,1 Introduction,No info,No info,constituent language word lexeme sentence
80,"Indeed, the concept of syntax as a bridge between phonology and semantics, current in many grammatical theories, would seem to require that all constituents be assigned a meaning by the semantics and, furthermore, that (surface) syntactic structure should directly determine how the meanings of sentences are derived.",22,4,1 Introduction,No info,No info,concept syntax bridge phonology semantics current many grammatical theory constituent meaning semantics syntactic structure sentence
81,"It is common to assume that semantic constituency parallels syntactic constituency and hence that an adequate semantic theory must be able to ascribe appropriate meanings to noun phrases like the old cat, Jo's mother, Chester and verb phrases like sang, kicked the cat, ran slowly, etc, according to their syntactic structure.",22,4,1 Introduction,No info,No info,common semantic constituency parallel syntactic constituency adequate semantic theory able appropriate meaning noun phrase old cat mother chester verb phrase cat syntactic structure
82,Semantics and semantic theory,23,5,1 Introduction,No info,No info,semantics semantic theory
83,One way in which this may be achieved is to adopt the hypothesis that for each syntactic rule of the grammar (or syntactic structure admitted by the grammar) there is a corresponding semantic rule that derives the meaning of the resultant expression,23,5,1 Introduction,No info,No info,way hypothesis syntactic rule syntactic structure semantic rule resultant expression
84,(or structure).,23,5,1 Introduction,No info,No info,structure
85,"For example, assuming that there is a rule that defines a sentence in",23,5,1 Introduction,No info,No info,rule sentence
86,"English as consisting of a noun phrase plus a verb phrase, then the adoption of the rule-to-rule hypothesis in (5), together with the principle of compositionality in (4), requires that there be a corresponding semantic rule deriving the meaning of the sentence from the meanings of its immediate constituents, NP and VP.",23,5,1 Introduction,No info,No info,english noun phrase verb phrase adoption hypothesis principle compositionality semantic rule meaning sentence immediate constituent
87,Rule-to-rule hypothesis: For each syntactic rule there is a corresponding semantic rule.,23,5,1 Introduction,No info,No info,hypothesis syntactic rule semantic rule
88,"The principle of compositionality in (4) is assumed to be a constraint on semantic theories and, indeed, will be seen to be the primary motivator behind much of the discussion in later chapters.",23,5,1 Introduction,No info,No info,principle compositionality constraint semantic theory primary motivator much discussion chapter
89,"The rule-to-rule hypothesis, on the other hand, is not a necessary requirement of a semantic theory, but a means of achieving compositionality.",23,5,1 Introduction,No info,No info,hypothesis hand necessary requirement semantic theory compositionality
90,"We will have cause to question the validity of this hypothesis in the later chapters of this book, but it is used in the earlier chapters to maintain a transparent relation between syntactic structures and semantic representations.",23,5,1 Introduction,No info,No info,question validity hypothesis chapter book earlier chapter transparent relation syntactic structure semantic representation
91,Meaning relations,23,5,1 Introduction,No info,No info,relation
92,Another aspect of meaning that must be accounted for by any semantic theory is the systematic relations that hold between different expressions in a language.,23,5,1 Introduction,No info,No info,aspect meaning semantic theory systematic relation different expression language
93,"According to the condition of adequacy in (1 .b), a theory must satisfactorily analyse the intuitions speakers of English have about the semantic relations between lexemes and between sentences.",23,5,1 Introduction,No info,No info,condition adequacy theory intuition speaker english semantic relation lexeme sentence
94,"This assumes that expressions in a language which may not be syntactically related may be related semantically and, indeed, such is the case.",23,5,1 Introduction,No info,No info,expression language may
95,Consider the sentences in (6).,23,5,1 Introduction,No info,No info,sentence
96,"Assuming that the reference of the name Jo and the discourse context are held constant for all the sentences in (6), then the sentences in (6.b) to (6.i) are semantically related to that in (6.a), even though it is not always the case that there is a direct syntactic relation between them.",23,5,1 Introduction,No info,No info,reference name discourse context constant sentence sentence direct syntactic relation
97,(6) a.,23,5,1 Introduction,No info,No info,
98,b.,23,5,1 Introduction,No info,No info,
99,c.,23,5,1 Introduction,No info,No info,
100,d.,23,5,1 Introduction,No info,No info,
101,e.,23,5,1 Introduction,No info,No info,
102,f.,23,5,1 Introduction,No info,No info,
103,g.,23,5,1 Introduction,No info,No info,
104,h.,23,5,1 Introduction,No info,No info,
105,i.,23,5,1 Introduction,No info,No info,
106,Jo stroked a cat.,23,5,1 Introduction,No info,No info,cat
107,A cat was stroked.,23,5,1 Introduction,No info,No info,cat
108,There was a cat.,23,5,1 Introduction,No info,No info,cat
109,No-one stroked a cat.,23,5,1 Introduction,No info,No info,cat
110,There are no such things as cats.,23,5,1 Introduction,No info,No info,thing cat
111,A cat was stroked by Jo.,23,5,1 Introduction,No info,No info,cat
112,It was Jo who stroked the cat.,23,5,1 Introduction,No info,No info,cat
113,Jo touched a cat.,23,5,1 Introduction,No info,No info,touched cat
114,Jo stroked an animal.,23,5,1 Introduction,No info,No info,animal
115,"The relation between the sentences in (6.a) and those in (6.b) and (6.c) is one of entailment, as it is intuitively impossible for it to be true that Jo stroked a cat on some occasion without it also being true that a cat was stroked or that there existed a cat to be stroked on that occasion.",23,5,1 Introduction,No info,No info,relation sentence entailment impossible true stroked cat occasion true cat existed cat occasion
116,"We may thus define a sentence S, as entailing a sentence S2 if the latter truly describes a situation whenever the former also does.",23,5,1 Introduction,No info,No info,sentence sentence latter situation
117,The,23,5,1 Introduction,No info,No info,
118,I Introduction negation of an entailment always derives a contradiction and a sentence Si may be said to contradict a sentence S2 if the former must be false when the latter is true (or vice versa).,24,6,1 Introduction,No info,No info,negation entailment contradiction sentence contradict sentence former latter true vice
